lift_from_version	lift_from_node	lift_from_property	lift_to_version	lift_to_node	lift_to_property
1.7.2	single_cell_sequencing_file	library_construction_method	1.8.0	sequencing_file	library_construction_method
1.7.2	single_cell_sequencing_file	library_strand	1.8.0	sequencing_file	library_strand
1.7.2	single_cell_sequencing_file	protocols_link	1.8.0	sequencing_file	protocols_link
1.7.2	single_cell_sequencing_file	reverse_transcription_primer	1.8.0	sequencing_file	reverse_transcription_primer
1.7.2	single_cell_sequencing_file	spike_in	1.8.0	sequencing_file	spike_in
1.7.2	single_cell_sequencing_file	UMI_barcode_offset	1.8.0	sequencing_file	UMI_barcode_offset
1.7.2	single_cell_sequencing_file	UMI_barcode_read	1.8.0	sequencing_file	UMI_barcode_read
1.7.2	single_cell_sequencing_file	UMI_barcode_size	1.8.0	sequencing_file	UMI_barcode_size
1.7.2	single_cell_sequencing_file	library_id	1.8.0	sequencing_file	library_id
1.7.2	single_cell_sequencing_file	library_strategy	1.8.0	sequencing_file	library_strategy
1.7.2	single_cell_sequencing_file	platform	1.8.0	sequencing_file	platform
1.7.2	single_cell_sequencing_file	instrument_model	1.8.0	sequencing_file	instrument_model
1.7.2	single_cell_sequencing_file	library_layout	1.8.0	sequencing_file	library_layout
1.7.2	single_cell_sequencing_file	library_source	1.8.0	sequencing_file	library_source_material
1.7.2	single_cell_sequencing_file	number_of_bp	1.8.0	sequencing_file	number_of_bp
1.7.2	single_cell_sequencing_file	number_of_reads	1.8.0	sequencing_file	number_of_reads
1.7.2	single_cell_sequencing_file	avg_read_length	1.8.0	sequencing_file	avg_read_length
1.7.2	single_cell_sequencing_file	coverage	1.8.0	sequencing_file	coverage
1.7.2	single_cell_sequencing_file	reference_genome_assembly	1.8.0	sequencing_file	reference_genome_assembly
1.7.2	single_cell_sequencing_file	custom_assembly_fasta_file_for_alignment	1.8.0	sequencing_file	custom_assembly_fasta_file_for_alignment
1.7.2	single_cell_sequencing_file	sequence_alignment_software	1.8.0	sequencing_file	sequence_alignment_software
1.7.2	single_cell_sequencing_file	library_selection	1.8.0	sequencing_file	library_selection
1.7.2	single_cell_sequencing_file	design_description	1.8.0	sequencing_file	design_description
1.7.2	single_cell_sequencing_file	id	1.8.0	sequencing_file	id
1.7.2	single_cell_sequencing_file	file_name	1.8.0	sequencing_file	file_name
1.7.2	single_cell_sequencing_file	file_type	1.8.0	sequencing_file	file_type
1.7.2	single_cell_sequencing_file	file_description	1.8.0	sequencing_file	file_description
1.7.2	single_cell_sequencing_file	file_size	1.8.0	sequencing_file	file_size
1.7.2	single_cell_sequencing_file	md5sum	1.8.0	sequencing_file	md5sum
1.7.2	single_cell_sequencing_file	checksum_value	1.8.0	sequencing_file	checksum_value
1.7.2	single_cell_sequencing_file	checksum_algorithm	1.8.0	sequencing_file	checksum_algorithm
1.7.2	single_cell_sequencing_file	file_url_in_cds	1.8.0	sequencing_file	file_url_in_cds
1.7.2	single_cell_sequencing_file	dcf_indexd_guid	1.8.0	sequencing_file	dcf_indexd_guid
1.7.2	single_cell_sequencing_file	file_mapping_level	1.8.0	sequencing_file	file_mapping_level
1.7.2	synonym	study.study_id	1.8.0	synonym	study.study_id
1.7.2	synonym	participant.participant_id	1.8.0	synonym	participant.participant_id
1.7.2	synonym	sample.sample_id	1.8.0	synonym	sample.sample_id
1.7.2	synonym	id	1.8.0	synonym	id
1.7.2	synonym	repository_of_synonym_id	1.8.0	synonym	repository_of_synonym_id
1.7.2	synonym	synonym_id	1.8.0	synonym	synonym_id
1.7.2	sample	sample_id	1.8.0	synonym	sample.sample_id
			1.8.0	treatment_response	age_at_response
			1.8.0	treatment_response	id
			1.8.0	treatment_response	response_category
			1.8.0	treatment_response	response_system
			1.8.0	treatment_response	treatment_response_id
